well,bf,gfp,time,experiment,defect,nuclease
2,4,0,780,CGG_SpCas9,CGG,SpCas9
2,5,0,800,CGG_SpCas9,CGG,SpCas9
2,5,0,820,CGG_SpCas9,CGG,SpCas9
2,6,0,840,CGG_SpCas9,CGG,SpCas9
2,6,0,860,CGG_SpCas9,CGG,SpCas9
2,6,0,880,CGG_SpCas9,CGG,SpCas9
2,6,0,900,CGG_SpCas9,CGG,SpCas9
2,6,0,920,CGG_SpCas9,CGG,SpCas9
2,8,0,940,CGG_SpCas9,CGG,SpCas9
2,8,0,960,CGG_SpCas9,CGG,SpCas9
2,9,0,980,CGG_SpCas9,CGG,SpCas9
2,9,0,1000,CGG_SpCas9,CGG,SpCas9
2,9,0,1020,CGG_SpCas9,CGG,SpCas9
2,9,0,1040,CGG_SpCas9,CGG,SpCas9
2,10,0,1060,CGG_SpCas9,CGG,SpCas9
2,14,0,1080,CGG_SpCas9,CGG,SpCas9
2,15,0,1100,CGG_SpCas9,CGG,SpCas9
2,17,0,1120,CGG_SpCas9,CGG,SpCas9
2,19,0,1140,CGG_SpCas9,CGG,SpCas9
2,21,0,1160,CGG_SpCas9,CGG,SpCas9
2,23,0,1180,CGG_SpCas9,CGG,SpCas9
2,24,0,1200,CGG_SpCas9,CGG,SpCas9
2,26,0,1220,CGG_SpCas9,CGG,SpCas9
2,26,0,1240,CGG_SpCas9,CGG,SpCas9
2,27,0,1260,CGG_SpCas9,CGG,SpCas9
2,28,0,1280,CGG_SpCas9,CGG,SpCas9
2,30,0,1300,CGG_SpCas9,CGG,SpCas9
2,31,0,1320,CGG_SpCas9,CGG,SpCas9
2,33,0,1340,CGG_SpCas9,CGG,SpCas9
2,35,0,1360,CGG_SpCas9,CGG,SpCas9
2,37,0,1380,CGG_SpCas9,CGG,SpCas9
2,41,0,1400,CGG_SpCas9,CGG,SpCas9
2,41,0,1420,CGG_SpCas9,CGG,SpCas9
2,44,0,1440,CGG_SpCas9,CGG,SpCas9
